,TownID,Postal,CountryName,Country,TownName,Town
340,6702300,714,臺南,臺南市,玉井,玉井區
341,6702400,715,臺南,臺南市,楠西,楠西區
342,6702500,716,臺南,臺南市,南化,南化區
344,6702700,717,臺南,臺南市,仁德,仁德區
346,6702900,718,臺南,臺南市,關廟,關廟區
347,6703000,719,臺南,臺南市,龍崎,龍崎區
327,6701000,720,臺南,臺南市,官田,官田區
324,6700700,721,臺南,臺南市,麻豆,麻豆區
329,6701200,722,臺南,臺南市,佳里,佳里區
331,6701400,723,臺南,臺南市,西港,西港區
332,6701500,724,臺南,臺南市,七股,七股區
333,6701600,725,臺南,臺南市,將軍,將軍區
330,6701300,726,臺南,臺南市,學甲,學甲區
334,6701700,727,臺南,臺南市,北門,北門區
318,6700100,730,臺南,臺南市,新營,新營區
322,6700500,731,臺南,臺南市,後壁,後壁區
320,6700300,732,臺南,臺南市,白河,白河區
323,6700600,733,臺南,臺南市,東山,東山區
326,6700900,734,臺南,臺南市,六甲,六甲區
325,6700800,735,臺南,臺南市,下營,下營區
321,6700400,736,臺南,臺南市,柳營,柳營區
319,6700200,737,臺南,臺南市,鹽水,鹽水區
336,6701900,741,臺南,臺南市,善化,善化區
328,6701100,742,臺南,臺南市,大內,大內區
339,6702200,743,臺南,臺南市,山上,山上區
337,6702000,744,臺南,臺南市,新市,新市區
338,6702100,745,臺南,臺南市,安定,安定區
227,6400600,800,高雄,高雄市,新興,新興區
228,6400700,801,高雄,高雄市,前金,前金區
229,6400800,802,高雄,高雄市,苓雅,苓雅區
222,6400100,803,高雄,高雄市,鹽埕,鹽埕區
223,6400200,804,高雄,高雄市,鼓山,鼓山區
231,6401000,805,高雄,高雄市,旗津,旗津區
230,6400900,806,高雄,高雄市,前鎮,前鎮區
226,6400500,807,高雄,高雄市,三民,三民區
225,6400400,811,高雄,高雄市,楠梓,楠梓區
232,6401100,812,高雄,高雄市,小港,小港區
224,6400300,813,高雄,高雄市,左營,左營區
238,6401700,814,高雄,高雄市,仁武,仁武區
237,6401600,815,高雄,高雄市,大社,大社區
240,6401900,820,高雄,高雄市,岡山,岡山區
245,6402400,821,高雄,高雄市,路竹,路竹區
244,6402300,822,高雄,高雄市,阿蓮,阿蓮區
243,6402200,823,高雄,高雄市,田寮,田寮區
242,6402100,824,高雄,高雄市,燕巢,燕巢區
241,6402000,825,高雄,高雄市,橋頭,橋頭區
250,6402900,826,高雄,高雄市,梓官,梓官區
249,6402800,827,高雄,高雄市,彌陀,彌陀區
248,6402700,828,高雄,高雄市,永安,永安區
246,6402500,829,高雄,高雄市,湖內,湖內區
233,6401200,830,高雄,高雄市,鳳山,鳳山區
235,6401400,831,高雄,高雄市,大寮,大寮區
234,6401300,832,高雄,高雄市,林園,林園區
239,6401800,833,高雄,高雄市,鳥松,鳥松區
236,6401500,840,高雄,高雄市,大樹,大樹區
251,6403000,842,高雄,高雄市,旗山,旗山區
252,6403100,843,高雄,高雄市,美濃,美濃區
253,6403200,844,高雄,高雄市,六龜,六龜區
256,6403500,845,高雄,高雄市,內門,內門區
255,6403400,846,高雄,高雄市,杉林,杉林區
254,6403300,847,高雄,高雄市,甲仙,甲仙區
258,6403700,848,高雄,高雄市,桃源,桃源區
259,6403800,849,高雄,高雄市,那瑪夏,那瑪夏區
257,6403600,851,高雄,高雄市,茂林,茂林區
247,6402600,852,高雄,高雄市,茄萣,茄萣區
192,1001601,880,澎湖,澎湖縣,馬公,馬公市
195,1001604,881,澎湖,澎湖縣,西嶼,西嶼鄉
196,1001605,882,澎湖,澎湖縣,望安,望安鄉
197,1001606,883,澎湖,澎湖縣,七美,七美鄉
194,1001603,884,澎湖,澎湖縣,白沙,白沙鄉
193,1001602,885,澎湖,澎湖縣,湖西,湖西鄉
5,902002,890,金門,金門縣,金沙,金沙鎮
6,902003,891,金門,金門縣,金湖,金湖鎮
7,902004,892,金門,金門縣,金寧,金寧鄉
4,902001,893,金門,金門縣,金城,金城鎮
8,902005,894,金門,金門縣,烈嶼,烈嶼鄉
9,902006,896,金門,金門縣,烏坵,烏坵鄉
130,1001301,900,屏東,屏東縣,屏東,屏東市
155,1001326,901,屏東,屏東縣,三地門,三地門鄉
156,1001327,902,屏東,屏東縣,霧臺,霧臺鄉
157,1001328,903,屏東,屏東縣,瑪家,瑪家鄉
137,1001308,904,屏東,屏東縣,九如,九如鄉
138,1001309,905,屏東,屏東縣,里港,里港鄉
140,1001311,906,屏東,屏東縣,高樹,高樹鄉
139,1001310,907,屏東,屏東縣,鹽埔,鹽埔鄉
135,1001306,908,屏東,屏東縣,長治,長治鄉
136,1001307,909,屏東,屏東縣,麟洛,麟洛鄉
143,1001314,911,屏東,屏東縣,竹田,竹田鄉
142,1001313,912,屏東,屏東縣,內埔,內埔鄉
134,1001305,913,屏東,屏東縣,萬丹,萬丹鄉
131,1001302,920,屏東,屏東縣,潮州,潮州鎮
158,1001329,921,屏東,屏東縣,泰武,泰武鄉
159,1001330,922,屏東,屏東縣,來義,來義鄉
141,1001312,923,屏東,屏東縣,萬巒,萬巒鄉
147,1001318,924,屏東,屏東縣,崁頂,崁頂鄉
144,1001315,925,屏東,屏東縣,新埤,新埤鄉
149,1001320,926,屏東,屏東縣,南州,南州鄉
148,1001319,927,屏東,屏東縣,林邊,林邊鄉
132,1001303,928,屏東,屏東縣,東港,東港鎮
151,1001322,929,屏東,屏東縣,琉球,琉球鄉
150,1001321,931,屏東,屏東縣,佳冬,佳冬鄉
146,1001317,932,屏東,屏東縣,新園,新園鄉
145,1001316,940,屏東,屏東縣,枋寮,枋寮鄉
154,1001325,941,屏東,屏東縣,枋山,枋山鄉
160,1001331,942,屏東,屏東縣,春日,春日鄉
161,1001332,943,屏東,屏東縣,獅子,獅子鄉
152,1001323,944,屏東,屏東縣,車城,車城鄉
162,1001333,945,屏東,屏東縣,牡丹,牡丹鄉
133,1001304,946,屏東,屏東縣,恆春,恆春鎮
153,1001324,947,屏東,屏東縣,滿州,滿州鄉
163,1001401,950,臺東,臺東縣,臺東,臺東市
173,1001411,951,臺東,臺東縣,綠島,綠島鄉
178,1001416,952,臺東,臺東縣,蘭嶼,蘭嶼鄉
175,1001413,953,臺東,臺東縣,延平,延平鄉
166,1001404,954,臺東,臺東縣,卑南,卑南鄉
167,1001405,955,臺東,臺東縣,鹿野,鹿野鄉
165,1001403,956,臺東,臺東縣,關山,關山鎮
174,1001412,957,臺東,臺東縣,海端,海端鄉
168,1001406,958,臺東,臺東縣,池上,池上鄉
169,1001407,959,臺東,臺東縣,東河,東河鄉
164,1001402,961,臺東,臺東縣,成功,成功鎮
170,1001408,962,臺東,臺東縣,長濱,長濱鄉
171,1001409,963,臺東,臺東縣,太麻里,太麻里鄉
176,1001414,964,臺東,臺東縣,金峰,金峰鄉
172,1001410,965,臺東,臺東縣,大武,大武鄉
177,1001415,966,臺東,臺東縣,達仁,達仁鄉
179,1001501,970,花蓮,花蓮縣,花蓮,花蓮市
182,1001504,971,花蓮,花蓮縣,新城,新城鄉
189,1001511,972,花蓮,花蓮縣,秀林,秀林鄉
183,1001505,973,花蓮,花蓮縣,吉安,吉安鄉
184,1001506,974,花蓮,花蓮縣,壽豐,壽豐鄉
180,1001502,975,花蓮,花蓮縣,鳳林,鳳林鎮
185,1001507,976,花蓮,花蓮縣,光復,光復鄉
186,1001508,977,花蓮,花蓮縣,豐濱,豐濱鄉
187,1001509,978,花蓮,花蓮縣,瑞穗,瑞穗鄉
190,1001512,979,花蓮,花蓮縣,萬榮,萬榮鄉
181,1001503,981,花蓮,花蓮縣,玉里,玉里鎮
191,1001513,982,花蓮,花蓮縣,卓溪,卓溪鄉
188,1001510,983,花蓮,花蓮縣,富里,富里鄉
